time,A1,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B3,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,E3,E4,E5,E6,E7,E8,F3,F4,F5,F6,F7,F8,G3,G4,G5,G6,G7,G8
0,0.052818104,0.052790537,0.052893463,0.168835006,0.170475348,0.168976668,0.297424843,0.295874992,0.282394183,0.052309314,0.052868649,0.052510371,0.166683355,0.168680191,0.168651395,0.265684107,0.291355425,0.294125582,0.052557206,0.054481797,0.054641411,0.170594647,0.170833342,0.169998481,0.294059915,0.297712221,0.291091307,0.054,0.088,0.125,0.198,0.338,0.604,0.055,0.087,0.125,0.196,0.336,0.605,0.054,0.088,0.124,0.197,0.337,0.625
1.5,0.052904041,0.053781843,0.05427253,0.178881626,0.176741679,0.179669005,0.324666659,0.319026026,0.319682346,0.053097832,0.053497627,0.053663167,0.178720886,0.178600677,0.178833766,0.324201658,0.319049752,0.31968574,0.052613975,0.054668799,0.057111513,0.180874331,0.178718433,0.179274523,0.322631887,0.321341979,0.315001332,0.054,0.085,0.123,0.203,0.357,0.66,0.056,0.085,0.124,0.201,0.358,0.662,0.056,0.085,0.122,0.2,0.354,0.673
5.5,0.053781822,0.055534614,0.055614958,0.172899452,0.172701068,0.174056478,0.319650324,0.322181837,0.320224064,0.053688024,0.05388576,0.055519839,0.170752298,0.172157188,0.170708958,0.326182604,0.318684486,0.322644478,0.051150288,0.054290712,0.057905939,0.175032956,0.171892746,0.172418166,0.320958471,0.321126948,0.3183664,0.055,0.074,0.103,0.173,0.316,0.588,0.056,0.074,0.105,0.158,0.297,0.582,0.056,0.068,0.088,0.15,0.257,0.524
8,0.055543636,0.057029759,0.057073328,0.171466339,0.170446927,0.169646092,0.319138405,0.325515699,0.32309719,0.055563036,0.055962308,0.056517463,0.170680482,0.170857537,0.171097339,0.330758943,0.325293871,0.328482558,0.055008177,0.056544313,0.060141501,0.17226329,0.169511562,0.169518768,0.326662759,0.327717763,0.327271966,0.056,0.069,0.094,0.159,0.298,0.567,0.057,0.069,0.095,0.145,0.281,0.563,0.056,0.064,0.081,0.138,0.244,0.507
16.5,0.059011105,0.059411931,0.059511729,0.1324782,0.128703183,0.128241801,0.332900402,0.33395552,0.329793794,0.058153833,0.058387298,0.05996624,0.132966201,0.131958783,0.130689876,0.339900992,0.331472545,0.332258422,0.060083912,0.060770966,0.063410555,0.136804252,0.128419954,0.128970178,0.339685785,0.333701146,0.331950888,0.057,0.061,0.075,0.13,0.267,0.536,0.058,0.061,0.076,0.119,0.253,0.531,0.055,0.058,0.066,0.112,0.218,0.474
20.5,0.057947187,0.058573546,0.05848042,0.095178935,0.093428489,0.093208539,0.331251405,0.331771731,0.329266628,0.056838153,0.060070037,0.057416466,0.095213387,0.095668622,0.092822384,0.334667588,0.32675344,0.328790934,0.060441226,0.057835598,0.06143574,0.096398602,0.093314465,0.0942821,0.337078543,0.33298592,0.325286213,0.056,0.092,0.131,0.21,0.369,0.71,0.058,0.092,0.131,0.214,0.375,0.687,0.055,0.093,0.131,0.214,0.37,0.695
24.5,NA,NA,NA,0.066142108,0.062947213,0.063267248,0.324927594,0.328886191,0.335282582,NA,NA,NA,0.065790587,0.065289853,0.06391557,0.332102337,0.324994681,0.33253973,NA,NA,NA,0.065665586,0.06441472,0.063716636,0.330628944,0.327601872,0.330242221,0.057,0.08,0.112,0.185,0.34,0.656,0.059,0.08,0.114,0.189,0.347,0.638,0.056,0.079,0.111,0.188,0.34,0.663
28.5,NA,NA,NA,0.056614294,0.054263845,0.055540208,0.33314796,0.337622554,0.335291352,NA,NA,NA,0.056936389,0.06078842,0.056076456,0.340488702,0.331983121,0.332065346,NA,NA,NA,0.057258723,0.056038461,0.055991205,0.339207977,0.33250122,0.328686012,0.058,0.071,0.096,0.162,0.313,0.605,0.06,0.071,0.097,0.166,0.32,0.588,0.057,0.07,0.095,0.164,0.313,0.629
32,NA,NA,NA,NA,NA,NA,0.324924994,0.327646748,0.327577501,NA,NA,NA,NA,NA,NA,0.326272521,0.317032899,0.322384365,NA,NA,NA,NA,NA,NA,0.326552199,0.321635823,0.321267153,0.058,0.066,0.084,0.142,0.286,0.535,0.06,0.066,0.086,0.146,0.294,0.52,0.057,0.065,0.083,0.144,0.286,0.589
40.5,NA,NA,NA,NA,NA,NA,0.331519496,0.333622103,0.331456574,NA,NA,NA,NA,NA,NA,0.332142208,0.326346811,0.326239735,NA,NA,NA,NA,NA,NA,0.331988196,0.328332491,0.328285644,0.06,0.058,0.059,0.084,0.204,0.318,0.06,0.059,0.063,0.088,0.218,0.332,0.056,0.06,0.059,0.088,0.209,0.367
48.5,NA,NA,NA,NA,NA,NA,0.314684989,0.320888975,0.322704371,NA,NA,NA,NA,NA,NA,0.314965915,0.30927366,0.320168001,NA,NA,NA,NA,NA,NA,0.315779439,0.316005408,0.319778186,0.057,0.093,0.128,0.199,0.343,0.664,0.059,0.09,0.128,0.196,0.342,0.663,0.056,0.091,0.128,0.2,0.346,0.684
56.5,NA,NA,NA,NA,NA,NA,0.300087993,0.319729021,0.322758629,NA,NA,NA,NA,NA,NA,0.305770904,0.309621202,0.313143723,NA,NA,NA,NA,NA,NA,0.307859006,0.312912465,0.31092004,0.058,0.079,0.11,0.18,0.33,0.564,0.059,0.077,0.11,0.177,0.33,0.536,0.056,0.078,0.108,0.177,0.327,0.607
64.5,NA,NA,NA,NA,NA,NA,0.246658049,0.275882651,0.274566474,NA,NA,NA,NA,NA,NA,0.262595556,0.27642749,0.27642749,NA,NA,NA,NA,NA,NA,0.261015655,0.283053828,0.279002383,0.058,0.067,0.088,0.152,0.299,0.477,0.059,0.066,0.088,0.148,0.301,0.452,0.056,0.065,0.085,0.146,0.297,0.545
69.5,NA,NA,NA,NA,NA,NA,0.212575238,0.291852491,0.294655862,NA,NA,NA,NA,NA,NA,0.217841618,0.286534283,0.292289975,NA,NA,NA,NA,NA,NA,0.214464694,0.288066121,0.291042552,0.059,0.096,0.133,0.208,0.372,0.736,0.059,0.098,0.133,0.216,0.376,0.73,0.056,0.099,0.139,0.217,0.387,0.716
73.5,NA,NA,NA,NA,NA,NA,0.117935616,0.223482466,0.235571857,NA,NA,NA,NA,NA,NA,0.122236751,0.217704994,0.231284617,NA,NA,NA,NA,NA,NA,0.120404018,0.220180544,0.226216314,0.059,0.081,0.111,0.181,0.337,0.615,0.06,0.082,0.111,0.187,0.342,0.596,0.056,0.082,0.116,0.185,0.352,0.621
77.5,NA,NA,NA,NA,NA,NA,0.063752601,0.130969096,0.145892247,NA,NA,NA,NA,NA,NA,0.066391063,0.128704156,0.144821647,NA,NA,NA,NA,NA,NA,0.065293781,0.129749989,0.139246135,0.059,0.071,0.091,0.154,0.303,0.56,0.06,0.071,0.091,0.158,0.309,0.553,0.055,0.071,0.094,0.154,0.317,0.561
81.5,NA,NA,NA,NA,NA,NA,0.054900448,0.075850224,0.080327355,NA,NA,NA,NA,NA,NA,0.058000911,0.072861994,0.077954286,NA,NA,NA,NA,NA,NA,0.056663726,0.075336216,0.075280972,0.059,0.066,0.079,0.133,0.278,0.509,0.061,0.066,0.079,0.137,0.283,0.498,0.056,0.066,0.081,0.132,0.29,0.502
84,NA,NA,NA,NA,NA,NA,0.052484625,0.060354377,0.063955106,NA,NA,NA,NA,NA,NA,0.054266936,0.057803376,0.059992104,NA,NA,NA,NA,NA,NA,0.055165469,0.058959368,0.057439503,0.06,0.064,0.072,0.118,0.257,0.493,0.061,0.064,0.072,0.121,0.262,0.491,0.056,0.064,0.071,0.116,0.268,0.484
