time,flask,HCHO_in_plate,rep,cellcounts
0,A,0,A,4272727.273
0,A,0,B,4272727.273
0,A,0,C,3727272.727
0,A,2,A,190909.0909
0,A,2,B,245454.5455
0,A,2,C,254545.4545
0,A,4,A,2727.272727
0,A,4,B,2727.272727
0,A,4,C,3727.272727
0,B,0,A,6454545.455
0,B,0,B,10909090.91
0,B,0,C,9090909.091
0,B,2,A,372727.2727
0,B,2,B,400000
0,B,2,C,327272.7273
0,B,4,A,2636.363636
0,B,4,B,3636.363636
0,B,4,C,2727.272727
0,C,0,A,13636363.64
0,C,0,B,12727272.73
0,C,0,C,11818181.82
0,C,2,A,1181818.182
0,C,2,B,454545.4545
0,C,2,C,400000
0,C,4,A,6363.636364
0,C,4,B,5454.545455
0,C,4,C,7272.727273
0,D,0,A,5454545.455
0,D,0,B,11818181.82
0,D,0,C,6363636.364
0,D,2,A,309090.9091
0,D,2,B,409090.9091
0,D,2,C,909090.9091
0,D,4,A,3636.363636
0,D,4,B,5454.545455
0,D,4,C,10909.09091
0,E,0,A,16363636.36
0,E,0,B,10909090.91
0,E,0,C,12727272.73
0,E,2,A,1000000
0,E,2,B,363636.3636
0,E,2,C,454545.4545
0,E,4,A,11818.18182
0,E,4,B,10909.09091
0,E,4,C,4818.181818
0,F,0,A,13636363.64
0,F,0,B,8181818.182
0,F,0,C,10000000
0,F,2,A,636363.6364
0,F,2,B,818181.8182
0,F,2,C,909090.9091
0,F,4,A,5545.454545
0,F,4,B,8181.818182
0,F,4,C,8181.818182
0,G,0,A,8181818.182
0,G,0,B,16363636.36
0,G,0,C,10909090.91
0,G,2,A,318181.8182
0,G,2,B,218181.8182
0,G,2,C,218181.8182
0,G,4,A,5454.545455
0,G,4,B,7272.727273
0,G,4,C,3727.272727
0,H,0,A,20909090.91
0,H,0,B,12727272.73
0,H,0,C,11818181.82
0,H,2,A,190909.0909
0,H,2,B,227272.7273
0,H,2,C,227272.7273
0,H,4,A,3545.454545
0,H,4,B,3636.363636
0,H,4,C,8181.818182
0,I,0,A,12727272.73
0,I,0,B,18181818.18
0,I,0,C,13636363.64
0,I,2,A,263636.3636
0,I,2,B,263636.3636
0,I,2,C,190909.0909
0,I,4,A,7272.727273
0,I,4,B,9090.909091
0,I,4,C,4545.454545
1.5,A,0,A,4090909.091
1.5,A,0,B,2636363.636
1.5,A,0,C,3727272.727
1.5,A,2,A,2727272.727
1.5,A,2,B,2181818.182
1.5,A,2,C,3454545.455
1.5,A,4,A,3636.363636
1.5,A,4,B,909.0909091
1.5,A,4,C,3818.181818
1.5,B,0,A,1909090.909
1.5,B,0,B,3090909.091
1.5,B,0,C,3000000
1.5,B,2,A,2181818.182
1.5,B,2,B,1818181.818
1.5,B,2,C,2545454.545
1.5,B,4,A,3363.636364
1.5,B,4,B,4545.454545
1.5,B,4,C,3636.363636
1.5,C,0,A,3727272.727
1.5,C,0,B,2636363.636
